38 Provinsi,,,,,,,,,,,,,,,
,Nilai Produksi Perikanan Tangkap di Perairan Umum Menurut Lokasi (Ribu Rupiah),,,,,,,,,,,,,,
,Waduk,,,Sungai,,,Danau,,,Rawa,,,Genangan Air,,
,2019,2018,2017,2019,2018,2017,2019,2018,2017,2019,2018,2017,2019,2018,2017
ACEH,0,0,-,174157732,174157732,-,11392489,11392489,3297269,7180061,7180061,-,8801516,8801516,-
SUMATERA UTARA,6915433,6915433,348559,3520363406,3520363406,2662269996,801039435,801039435,196662472,401157124,401157124,2376165,6719048,6719048,276188
SUMATERA BARAT,96827400,96827400,16717092,217878398,217878398,183354083,63217790,63217790,86444171,5217417,5217417,433608,18508302,18508302,4039945
RIAU,10574361,10574361,-,802570149,802570149,712173660,36445401,36445401,39775082,57062535,57062535,-,8449591,8449591,-
JAMBI,0,0,-,110739944,110739944,271384247,46493212,46493212,33630599,4942831,4942831,4290224,0,0,-
SUMATERA SELATAN,34253150,34253150,591375,2885280467,2885280467,2305329220,48369209,48369209,51791144,211381157,211381157,248366588,7600,7600,812
BENGKULU,1951060,1951060,1776541,34508638,34508638,27708401,4913123,4913123,4118978,10700202,10700202,10776987,0,0,-
LAMPUNG,15236882,15236882,16070747,115528979,115528979,90810604,5375747,5375747,10105552,27957421,27957421,29875094,3853977,3853977,4398239
KEP. BANGKA BELITUNG,0,0,-,33342735,33342735,1409427,0,0,-,0,0,-,0,0,-
KEP. RIAU,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
DKI JAKARTA,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
JAWA BARAT,130117186,130117186,147517143,128101587,128101587,735457564,19261725,19261725,15010743,4629886,4629886,1914637,19178294,19178294,20580325
JAWA TENGAH,406812836,406812836,-,341215082,341215082,170353945,138679992,138679992,346287772,46035548,46035548,19132915,29730367,29730367,28853833
DI YOGYAKARTA,3702625,3702625,2537935,42218019,42218019,31699795,0,0,-,0,0,-,1321580,1321580,84645
JAWA TIMUR,68743393,68743393,64006282,197147509,197147509,216885905,12435101,12435101,6380390,71567785,71567785,5511207,6110945,6110945,5978682
BANTEN,306811,306811,-,10464666,10464666,10903570,162130,162130,-,3046930,3046930,8618679,8131766,8131766,1274634
BALI,3964807,3964807,1567148,1502425,1502425,3771997,15389717,15389717,17706550,0,0,-,0,0,-
NUSA TENGGARA BARAT,70433320,70433320,77406496,0,0,205859,0,0,-,9040006,9040006,8688614,0,0,-
NUSA TENGGARA TIMUR,0,0,-,0,0,-,0,0,294,0,0,-,0,0,-
KALIMANTAN BARAT,0,0,-,1713441219,1713441219,497858265,0,0,444144194,0,0,-,0,0,-
KALIMANTAN TENGAH,0,0,-,1023575532,1023575532,920520702,392847961,392847961,481770276,240988485,240988485,171331209,0,0,-
KALIMANTAN SELATAN,88594906,88594906,50974,1299175114,1299175114,1198784,0,0,-,914383986,914383986,559165,0,0,-
KALIMANTAN TIMUR,0,0,-,1168061015,1168061015,2113281,0,0,-,0,0,-,0,0,-
KALIMANTAN UTARA,0,0,-,24100025,24100025,132640550,0,0,-,0,0,-,0,0,-
SULAWESI UTARA,0,0,-,39864520,39864520,-,369043777,369043777,27685407,0,0,-,0,0,-
SULAWESI TENGAH,0,0,-,11690314,11690314,4670754,59505769,59505769,18286621,0,0,-,0,0,-
SULAWESI SELATAN,6623266,6623266,4209796,60448624,60448624,38502176,486262563,486262563,400881233,136314414,136314414,91767009,0,0,1651
SULAWESI TENGGARA,0,0,-,32191944,32191944,67863597,0,0,-,16932351,16932351,49829326,0,0,-
GORONTALO,0,0,-,0,0,-,115476401,115476401,21157584,0,0,-,0,0,-
SULAWESI BARAT,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
MALUKU,0,0,-,0,0,350097,0,0,-,0,0,-,0,0,-
MALUKU UTARA,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-
PAPUA BARAT,0,0,-,4386598,4386598,10375172,524114,524114,-,0,0,11499756,0,0,-
PAPUA,0,0,-,86661835,86661835,303315217,15856801,15856801,43239326,555785,555785,2050952,0,0,-
INDONESIA,945057437,945057437,332800089,14078616476,14078616476,9403126870,2642692456,2642692456,2248375657,2169093924,2169093924,667022136,110812986,110812986,65488955
