Produksi Perikanan Tangkap Menurut Provinsi dan Subsektor (ton), 2000-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Provinsi,Perikanan Laut,,,,,,,,,,,,,,,,,,,,,Perairan Umum Daratan,,,,,,,,,,,,,,,,,,,,,Jumlah,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018*,2019*,2020*,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018*,2019*,2020*,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018*,2019*,2020*
Aceh,90.348,102.824,92.236,134.077,102.555,81.163,124.963,130.55,129.947,138.942,126.701,143.681,148.765,153.692,157.944,173.034,189.261,236.061,288.034,156.417,304.283,895,929,1.023,963,1.54,1.319,1.419,1.127,1.189,1.189,1.212,2.29,1.35,1.579,1.54,1.734,1.727,144,5.544,2.683,3.075,113.096,120.831,120.708,168.917,104.095,82.482,126.382,131.677,131.136,140.131,127.913,145.971,150.115,155.271,159.484,174.768,190.988,236.205,293.578,159.1,307.359
Sumatera Utara,338.215,341.325,345.193,341.183,323.794,326.336,342.378,348.222,354.535,358.664,341.323,463.201,510.552,508.359,484.313,494.724,475.638,715.442,368.53,1.203.191,424.876,6.298,7.039,11.645,11.494,11.226,11.671,12.194,13.452,210.01,19.39,24.605,39.623,52.582,46.952,87.836,84.825,44.583,85.309,134.47,73.687,55.393,378.233,383.471,396.812,392.914,335.02,338.007,354.572,361.674,564.545,378.054,365.928,502.824,563.134,555.311,572.149,579.549,520.221,800.751,503,1.276.878,480.269
Sumatera Barat,95.508,100.88,85.745,98.431,102.368,108.912,123.528,187.092,187.043,191.345,192.658,196.511,197.46,211.004,214.734,204.771,200.61,214.144,211.821,217.627,205.182,7.176,7.308,4.261,7.542,7.678,8,6.574,9.36,8.542,8.55,9.941,8.945,10.406,10.372,10.464,10.408,9.495,10.418,11.622,11.401,10.977,123.16,128.409,113.527,132.289,110.046,116.912,130.102,196.452,195.585,199.895,202.599,205.456,207.866,221.376,225.198,215.179,210.105,224.562,223.443,229.027,216.159
Riau,286.29,301.519,308.595,313.473,308.304,97.782,99.194,102.09,87.917,75.52,77.102,90.503,95.609,93.279,107.305,105.298,102.101,107.843,120.022,114.497,111.534,13.286,13.767,14.286,14.57,14.714,24.694,14.174,14.355,13.978,12.381,12.191,13.542,16.068,17.456,18.384,17.099,27.256,21.146,23.9,24.034,23.439,306.628,329.116,342.277,352.098,323.018,122.476,113.368,116.445,101.895,87.901,89.293,104.045,111.677,110.735,125.689,122.397,129.357,128.989,143.922,138.531,134.973
Jambi,41.106,44.935,45.262,48.826,47.078,43.121,25.1,43.638,43.945,44.12,44.524,44.7,46.894,47.713,48.031,43.204,47.134,44.41,45.609,44.727,47.489,5.858,5.246,5.443,5.374,5.134,5.554,5.122,5.345,5.58,5.92,6.425,7.14,7.197,7.545,7.203,6.412,7.553,7.04,7.077,7.533,8.403,50.821,55.105,55.605,63.208,52.212,48.675,30.222,48.983,49.525,50.04,50.949,51.84,54.091,55.258,48.031,49.616,54.687,51.449,52.686,52.26,55.892
Sumatera Selatan,157.53,46.192,49.724,61.368,54.041,27.831,35.485,37.79,38.653,39.735,40.877,43.8,44.092,44.764,48.186,61.392,69.583,9.53,103.603,92.692,64.154,44.927,41.769,42.268,57.696,84.174,43.188,42.547,43.045,44.694,45.733,52.274,51.036,51.438,51.823,53.377,114.789,117.954,117.963,93.355,104.971,61.194,222.948,118.502,127.695,161.568,138.215,71.019,78.032,80.835,83.347,85.468,93.151,94.836,95.53,96.587,101.563,176.181,187.537,127.492,196.957,197.663,125.348
Bengkulu,24.169,25.602,25.903,27.211,27.615,38.75,40.725,42.435,57.655,44.209,44.241,39.86,44.561,50.918,60.705,62.291,62.426,65.755,67.299,70.829,68.07,3.723,3.755,3.57,3.785,3.785,453,672,666,361,630,821,897,1.374,1.368,1.686,1.804,1.798,1.793,1.806,1.921,1.921,33.599,35.064,33.814,39.137,31.4,39.203,41.397,43.101,58.016,44.839,45.062,40.757,45.935,52.286,62.391,64.095,64.224,67.548,69.105,72.749,69.991
Lampung,147.501,151.485,150.85,151.246,146.863,137.728,133.551,135.214,144.859,164.552,143.813,154.484,144.485,163.107,157.968,163.384,164.42,172.277,136.75,155.552,137.404,13.122,9.718,8.375,8.292,8.22,8.1,10.515,13.595,14.716,8.532,7.036,7.524,5.857,6.254,6.187,5.559,7.442,5.827,6.219,4.363,4.588,188.558,191.432,192.912,214.021,155.083,145.828,144.066,148.809,159.575,173.084,150.849,162.008,150.342,169.361,164.155,168.943,171.862,178.104,142.969,159.916,141.992
Kepulauan Bangka Belitung,0,127.866,136.526,143.897,144.006,119.845,127.274,123.202,150.496,153.222,159.421,192.474,202.565,199.243,203.285,139.633,189.967,217.912,228.525,218.776,225.558,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,–,-,47,456,172,116,-,128.08,136.762,144.536,144.006,119.845,127.274,123.202,150.496,153.222,159.421,192.474,202.565,199.243,203.285,139.633,189.967,217.959,228.98,218.949,225.674
Kepulauan Riau,-,-,-,-,-,181.118,164.493,193.556,225.439,225.469,196.633,157.506,147.31,140.597,139.331,149.745,151.215,112.433,100.94,310.051,332.176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,–,-,0,-,0,0,-,-,-,-,-,181.118,164.493,193.556,225.439,225.469,196.633,157.506,147.31,140.597,139.331,149.745,151.215,112.433,100.94,310.051,332.176
